contributor_id,contributor_name,proposed_count,pct_migratable,top_topics,top_themes,top_match_types,exact_matches,alias_matches,parent_theme_matches,keyword_assisted_matches,specialty_breadth,outlier_topic_count,lowest_scoring_slugs,flags,coherence_status
samantha-bryant,Samantha Bryant,124,11.61,Relationships & Communication:25|Identity & Self-Worth:24|Work & Burnout:23|Anxiety & Stress:16|Depression:10,anxiety-and-mood:26|relationships-and-connection:26|identity-and-self-worth:24|work-and-purpose:23|spirituality-and-meaning:10,exact_topic_plus_alias:72|exact_topic:52,124,72,0,0,26,0,how-do-believers-make-sense-of-suffering-if-god-is-loving:85|how-do-i-deal-with-feeling-like-my-life-has-177941-025:85|how-do-i-talk-to-my-children-about-death-without-an-afterlife:85|can-religious-trauma-be-real-even-if-not-181083-042:93|how-do-i-cope-with-the-fear-that-death-means-compl-186602-026:93,spans_gt_3_major_themes,needs_review
susan-keenan,Susan L. Keenan,106,9.93,Addiction & Recovery:22|Identity & Self-Worth:19|Family & Parenting:16|Relationships & Communication:16|Anxiety & Stress:12,trauma-and-safety:27|anxiety-and-mood:24|identity-and-self-worth:19|family-and-parenting:16|relationships-and-connection:16,exact_topic_plus_alias:60|exact_topic:46,106,60,0,0,15,0,how-do-i-deal-with-spiritual-bypassing-in-my-f8g3h6:85|is-it-normal-to-have-existential-thought-181083-046:85|what-if-i-dont-believe-in-god-or-a-higher-power-for-12-step-programs:85|can-ai-make-impostor-syndrome-worse:100|can-ai-make-relationship-anxiety-worse:100,spans_gt_3_major_themes,needs_review
laura-hilsen,Laura Hilsen,100,9.36,Identity & Self-Worth:23|Work & Burnout:23|Relationships & Communication:19|Anxiety & Stress:12|Depression:10,identity-and-self-worth:23|work-and-purpose:23|anxiety-and-mood:22|relationships-and-connection:19|life-transitions-and-change:10,exact_topic_plus_alias:59|exact_topic:41,100,59,0,0,15,0,how-do-i-handle-criticism-without-taking-177940-011:86|how-do-i-maintain-my-sense-of-identity-during-reti-187459-024:86|why-do-i-feel-guilty-for-being-excited-about-chang-187459-021:86|how-do-i-cope-with-losing-someone-to-suicide:94|how-do-i-rebuild-intimacy-after-infidelity-or-betrayal:94,spans_gt_3_major_themes,needs_review
michaela-hilburn,Michaela Hilburn,84,7.87,Identity & Self-Worth:26|Work & Burnout:26|Depression:11|Anxiety & Stress:8|Grief & Loss:7,identity-and-self-worth:26|work-and-purpose:26|anxiety-and-mood:19|life-transitions-and-change:9|trauma-and-safety:4,exact_topic_plus_alias:46|exact_topic:38,84,46,0,0,10,0,how-do-i-handle-guilt-and-shame-about-my-past-actions:86|why-do-i-feel-guilty-every-time-i-get-angry-186602-005:86|are-there-specific-depression-challenges-for-lgbtq-individuals:100|can-lack-of-sleep-make-my-anxiety-worse-181083-049:100|can-low-self-esteem-affect-relationships:100,spans_gt_3_major_themes,needs_review
lynn-lane,Lynn Lane,79,7.40,Addiction & Recovery:30|Relationships & Communication:20|Anxiety & Stress:13|Depression:6|Trauma & Safety:5,trauma-and-safety:35|relationships-and-connection:20|anxiety-and-mood:19|spirituality-and-meaning:4|life-transitions-and-change:1,exact_topic:41|exact_topic_plus_alias:38,79,38,0,0,11,0,how-do-i-deal-with-fear-of-hell-after-le-181083-036:85|is-it-normal-to-grieve-the-loss-of-my-faith-like-a-death:85|why-do-i-feel-like-life-has-no-meaning-or-purpose-v6w2x8:85|how-do-i-know-if-im-experiencing-spiritual-o9p6q1:93|bring-up-hard-topic-without-starting-fight:100,spans_gt_3_major_themes,needs_review
jackie-malone,Jackie Malone,78,7.30,Identity & Self-Worth:24|Addiction & Recovery:14|Relationships & Communication:13|Anxiety & Stress:11|Depression:10,identity-and-self-worth:24|anxiety-and-mood:21|relationships-and-connection:15|trauma-and-safety:14|life-transitions-and-change:4,exact_topic_plus_alias:44|exact_topic:34,78,44,0,0,19,0,how-can-i-create-a-calming-environment-at-home:86|how-do-i-cope-with-feeling-lost-and-uncertain-duri-187459-019:86|how-do-i-deal-with-people-who-dont-understand-or-s-187459-023:86|why-do-i-feel-anxious-about-positive-life-changes--187459-025:86|can-ai-companionship-replace-human-intimacy-189142-007:100,spans_gt_3_major_themes,needs_review
meredith-price,Meredith Price,71,6.65,Identity & Self-Worth:25|Anxiety & Stress:20|Relationships & Communication:12|Family & Parenting:9|Depression:2,identity-and-self-worth:25|anxiety-and-mood:22|relationships-and-connection:12|family-and-parenting:10|life-transitions-and-change:2,exact_topic_plus_alias:44|exact_topic:27,71,44,0,0,25,0,how-do-i-deal-with-my-parents-divorce-186032-011:94|am-i-losing-my-ability-to-connect-with-real-people-189142-008:100|can-stress-cause-back-and-neck-pain-181083-013:100|cope-with-loneliness-after-breakup:100|how-can-i-protect-my-children-from-conflict-between-me-and-my-ex:100,spans_gt_3_major_themes,needs_review
amanda-gaines,Amanda Gaines,51,4.78,"Addiction & Recovery:17|Anxiety & Stress:14|Depression:7|Gender, Sexuality & Intimacy:6|Grief & Loss:5",anxiety-and-mood:21|trauma-and-safety:19|relationships-and-connection:6|life-transitions-and-change:5,exact_topic_plus_alias:33|exact_topic:18,51,33,0,0,10,0,can-ai-make-health-anxiety-worse:100|can-depression-be-inherited-im-worried-about-my-children:100|can-i-drink-alcohol-while-taking-psychia-181083-061:100|can-stress-cause-ringing-in-my-ears-181083-009:100|how-do-i-come-out-when-im-not-sure-how-people-will-react:100,spans_gt_3_major_themes,needs_review
alex-crenshaw-phd,Dr. Alex Crenshaw,47,4.40,Depression:18|Relationships & Communication:18|Anxiety & Stress:8|Trauma & Safety:3,anxiety-and-mood:26|relationships-and-connection:18|trauma-and-safety:3,exact_topic_plus_alias:34|exact_topic:13,47,34,0,0,14,0,can-ai-make-me-feel-emotionally-numb:100|can-chronic-stress-affect-my-mental-health:100|can-you-actually-change-your-attachment-style-or-a-186602-009:100|how-can-couples-rebuild-trust-after-lying:100|how-can-i-help-my-partner-who-is-struggling-with-addiction:100,,coherent
liz-webb,Liz Webb,45,4.21,"Addiction & Recovery:20|Anxiety & Stress:12|Depression:7|Grief & Loss:4|Gender, Sexuality & Intimacy:2",trauma-and-safety:20|anxiety-and-mood:19|life-transitions-and-change:4|relationships-and-connection:2,exact_topic_plus_alias:26|exact_topic:19,45,26,0,0,9,0,can-ai-make-doomscrolling-worse:100|can-depression-cause-physical-symptoms:100|how-can-i-stop-comparing-myself-to-others-on-social-media-g7h8i9:100|how-do-i-deal-with-cravings-in-recovery-186032-027:100|how-do-i-deal-with-depression-when-im-unemployed:100,spans_gt_3_major_themes,needs_review
sarah-evers,Sarah Evers,45,4.21,Identity & Self-Worth:23|Relationships & Communication:17|Trauma & Safety:3|Grief & Loss:2,identity-and-self-worth:23|relationships-and-connection:17|trauma-and-safety:3|life-transitions-and-change:2,exact_topic:32|exact_topic_plus_alias:13,45,13,0,0,10,0,can-trauma-affect-grief:100|how-can-i-learn-to-love-myself:100|how-do-i-break-up-with-someone-i-still-love:100|how-do-i-communicate-better-with-my-part-186032-031:100|how-do-i-deal-with-feeling-like-im-not-creative-184730-097:100,spans_gt_3_major_themes,needs_review
kelsey-donahue,Kelsey Madsen (Donahue),39,3.65,Depression:13|Family & Parenting:13|Anxiety & Stress:12|Teens & Identity:1,anxiety-and-mood:25|family-and-parenting:14,exact_topic_plus_alias:38|exact_topic:1,39,38,0,0,17,0,what-do-i-do-if-i-think-my-child-is-questioning-th-187459-002:94|can-ai-make-avoidance-easier-when-anxious:100|can-i-stop-taking-psychiatric-medication-181083-064:100|can-relying-on-ai-make-my-social-anxiety-worse-189142-010:100|how-can-parents-support-a-child-who-worries-a-lot:100,,coherent
