answer_id,answer_slug,current_reviewer_id,current_public_reviewer_name,proposed_contributor_id,proposed_contributor_name,best_contributor_id,best_contributor_name,matched_specialty,deeper_topic,deeper_topic_name,deeper_theme,deeper_category,score,confidence,match_reasons,exclusions_evaluated,soft_cap_impact,profile_completeness,profile_publishable,blocked_incomplete,proposed_public_label,assignment_method,approval_source_internal,misleading_review_date_today,reviewed_at_legacy,qa_override,qa_decision
77b03289-45c4-47bc-902a-c3d1fe4067c1,am-i-becoming-too-dependent-on-ai-to-make-decision-189142-016,david-k-gore-phd,"Kenneth W. Christian, PhD",laura-hilsen,Laura Hilsen,laura-hilsen,Laura Hilsen,Work/Life Balance,work-and-burnout,Work & Burnout,work-and-purpose,Work & Burnout,100,high,exact_topic:work-and-burnout via Life Transitions (w=0.45)|exact_topic:work-and-burnout via Work/Life Balance (w=1),,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
18e51622-7110-418f-b6fe-75e004a8d402,am-i-losing-my-ability-to-connect-with-real-people-189142-008,david-k-gore-phd,"Kenneth W. Christian, PhD",meredith-price,Meredith Price,meredith-price,Meredith Price,Stress,anxiety-and-stress,Anxiety & Stress,anxiety-and-mood,Anxiety & Stress,100,high,"exact_topic:anxiety-and-stress via Pregnancy, Prenatal, Postpartum (w=0.5)|demoted_missing_keyword_support|exact_topic:anxiety-and-stress via Depression (w=0.35)|parent_theme:anxiety-and-mood via Depression|exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Infertility (w=0.5)|demoted_missing_keyword_support|exact_topic:anxiety-and-stress via Stress (w=1)",,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
a9befd3a-b5cd-4062-ab23-425902c27f2d,am-i-weak-if-i-need-medication-for-my-me-181083-055,david-k-gore-phd,"Kenneth W. Christian, PhD",samantha-bryant,Samantha Bryant,samantha-bryant,Samantha Bryant,Self Esteem,identity-and-self-worth,Identity & Self-Worth,identity-and-self-worth,Identity & Self-Worth,100,high,exact_topic:identity-and-self-worth via Body Image (w=0.4)|demoted_missing_keyword_support|exact_topic:identity-and-self-worth via Life Transitions (w=0.4)|exact_topic:identity-and-self-worth via Self Esteem (w=1),,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
c9448d08-3fc8-4951-a927-ab452c5fbb60,are-there-specific-depression-challenges-for-lgbtq-individuals,david-k-gore-phd,"Kenneth W. Christian, PhD",michaela-hilburn,Michaela Hilburn,michaela-hilburn,Michaela Hilburn,Depression,depression,Depression,anxiety-and-mood,Depression,100,high,parent_theme:anxiety-and-mood via Anxiety|alias_keyword:stress|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
1b42d8cc-3b8a-466f-b118-42e96cfac1d4,ask-for-reassurance-without-pushing-partner-away,david-k-gore-phd,"Kenneth W. Christian, PhD",samantha-bryant,Samantha Bryant,samantha-bryant,Samantha Bryant,Marital and Premarital,relationships-and-communication,Relationships & Communication,relationships-and-connection,Relationships & Communication,100,high,parent_theme:relationships-and-connection via Bisexual|exact_topic:relationships-and-communication via Codependency (w=1)|exact_topic:relationships-and-communication via Marital and Premarital (w=1),requires_keyword_support:Body Image,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-27,true,approve
decbea77-6a45-405b-9e95-60532dd6af2e,bring-up-hard-topic-without-starting-fight,david-k-gore-phd,"Kenneth W. Christian, PhD",lynn-lane,Lynn Lane,lynn-lane,Lynn Lane,Relationship Counseling,relationships-and-communication,Relationships & Communication,relationships-and-connection,Communication & Conflict,100,high,exact_topic:relationships-and-communication via Relationship Counseling (w=1),,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
8eff8c5f-438a-4be4-a671-6855f1eb6fb0,can-ai-companionship-replace-human-intimacy-189142-007,david-k-gore-phd,"Kenneth W. Christian, PhD",jackie-malone,Jackie Malone,jackie-malone,Jackie Malone,Relationship Issues,relationships-and-communication,Relationships & Communication,relationships-and-connection,Relationships & Divorce,100,high,parent_theme:relationships-and-connection via Bisexual|exact_topic:relationships-and-communication via Codependency (w=1)|exact_topic:relationships-and-communication via Relationship Issues (w=1),requires_keyword_support:Body Image,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
33f3f8ee-06d8-4b1e-8646-aeb023173276,can-ai-griefbots-make-grief-harder-to-process,david-k-gore-phd,"Kenneth W. Christian, PhD",lauren-sanders,Lauren Sanders,lauren-sanders,Lauren Sanders,Grief,grief-and-loss,Grief & Loss,life-transitions-and-change,Grief & Loss,100,high,parent_theme:life-transitions-and-change via Cancer|exact_topic:grief-and-loss via Grief (w=1)|preferred_specialty_keyword:Grief,requires_keyword_support:Body Dysmorphic Disorder|requires_keyword_support:Cancer|requires_keyword_support:Chronic Illness,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
b5b789a2-d94e-4716-96dc-373e0460c0bc,can-ai-help-me-practice-social-skills-before-real--189142-014,david-k-gore-phd,"Kenneth W. Christian, PhD",samantha-bryant,Samantha Bryant,samantha-bryant,Samantha Bryant,Stress,anxiety-and-stress,Anxiety & Stress,anxiety-and-mood,Anxiety & Stress,100,high,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35)|exact_topic:anxiety-and-stress via Stress (w=1),,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
097008df-6aad-4e4d-86ad-0f728a1de682,can-ai-help-me-process-grief-or-trauma-189142-018,david-k-gore-phd,"Kenneth W. Christian, PhD",lexi-cooper,Lexi Cooper,lexi-cooper,Lexi Cooper,Trauma,trauma-and-safety,Trauma & Safety,trauma-and-safety,Trauma & Grief,100,high,exact_topic:trauma-and-safety via Trauma (w=1)|preferred_specialty_keyword:Trauma,requires_keyword_support:Student Athletic Challenges,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
a7393d17-166d-4e0d-932f-fe24bdc8fc9e,can-ai-make-avoidance-easier-when-anxious,david-k-gore-phd,"Kenneth W. Christian, PhD",kelsey-donahue,Kelsey Madsen (Donahue),kelsey-donahue,Kelsey Madsen (Donahue),Stress,anxiety-and-stress,Anxiety & Stress,anxiety-and-mood,Anxiety & Stress,100,high,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35)|exact_topic:anxiety-and-stress via Stress (w=1),,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
b2c43fd1-c291-4d41-8739-6dce9c3052fa,can-ai-make-burnout-worse,david-k-gore-phd,"Kenneth W. Christian, PhD",laura-hilsen,Laura Hilsen,laura-hilsen,Laura Hilsen,Work/Life Balance,work-and-burnout,Work & Burnout,work-and-purpose,Work & Burnout,100,high,exact_topic:work-and-burnout via Life Transitions (w=0.45)|exact_topic:work-and-burnout via Work/Life Balance (w=1),,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
df1d3e84-c236-4674-98bc-ab3361930d5f,can-ai-make-doomscrolling-worse,david-k-gore-phd,"Kenneth W. Christian, PhD",liz-webb,Liz Webb,liz-webb,Liz Webb,Anxiety,anxiety-and-stress,Anxiety & Stress,anxiety-and-mood,Anxiety & Stress,100,high,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),,none,complete,true,false,Clinical contributor,specialty_matched_organizational_approval,peachtree_psychology_susan_keenan,true,2026-06-19,true,approve
