contributor_id,full_name,credentials,professional_title,specialties,source_url,role_class,retrieved_at
laura-hilsen,Laura Hilsen,APC,Licensed Associate Professional Counselor,Anxiety|Depression|Life Transitions|Grief and Loss|Mood Disorders|PTSD|Trauma|Work/Life Balance|Relationship Issues|Divorce|Infidelity|Self-Compassion|Self-Esteem|Personal Growth|Wholeness,https://peachtreepsychology.com/therapists/laura-hilsen/,associate,2026-07-16
michaela-hilburn,Michaela Hilburn,LAPC,"MS, Licensed Associate Professional Counselor",Anxiety|Trauma|Depression|Grief and Loss|Life Transitions|PTSD|Work/Life Balance|Anger Management|Self-Compassion|Self-Esteem,https://peachtreepsychology.com/therapists/michaela-hilburn/,associate,2026-07-16
liz-webb,Liz Webb,"LAPC, NCC","Licensed Associate Professional Counselor, Nationally Certified Counselor",ADHD|Substance Use|LGBTQIA+ Issues|Anxiety|Depression|Life Transitions|Grief & Loss|Autism Level 1|Neurodiversity,https://peachtreepsychology.com/therapists/liz-webb/,associate,2026-07-16
kelsey-donahue,Kelsey Madsen (Donahue),LPC,Licensed Professional Counselor,Anxiety|Depression|Eating Disorders|ADHD|Adoption|Anger Management|Behavioral Issues|Child|Developmental Disorders|Family Conflict|Oppositional Defiance (ODD)|Parenting|School Issues|Self Esteem|Stress|Suicidal Ideation|Disordered Eating,https://peachtreepsychology.com/therapists/kelsey-donahue/,licensed,2026-07-16
jackie-malone,Jackie Malone,"LAPC, CRC",Certified Rehabilitation Counselor (CRC),Addiction|ADHD|Alcohol Use|Anxiety|Bisexual|Body Image|Codependency|Depression|Drug Abuse|Dual Diagnosis|Lesbian|LGBTQ+|Life Transitions|Relationship Issues|Self Esteem|Stress|Substance Use|Transgender|Women's Issues,https://peachtreepsychology.com/therapists/jackie-malone/,associate,2026-07-16
alex-crenshaw-phd,Dr. Alex Crenshaw,PhD,"Licensed Psychologist, PhD",Adults|Couples|Anxiety|Trauma|PTSD|CBT|ACT|DBT|Adult ADHD Testing|Psychological Testing|Diagnostic Evaluation|OCD|Depression|Evidence-Based Psychotherapy,https://peachtreepsychology.com/therapists/alex-crenshaw/,licensed_psychologist,2026-07-16
jeannine-jannot,"Jeannine Jannot, Ph.D.",Ph.D.,"Student, Parent, & Productivity Coach",School Issues|Parenting|Life Coaching|ADHD|Anxiety|Child|Coping Skills|Education and Learning Disabilities|Executive Functioning|Peer Relationships|Productivity Coaching|Self Esteem|Stress,https://peachtreepsychology.com/jeannine-jannot/,coach,2026-07-16
lexi-cooper,Lexi Cooper,LMSW,Licensed Master Social Worker,ADHD|Anxiety|Social Communication Disorders|Depression|Family-of-Origin Issues|Familial Relationship Counseling|Interpersonal Communication Skills|Life Transitions|OCD|Student Athletic Challenges|Trauma|Work/School Balance|Family Therapy,https://peachtreepsychology.com/therapists/lexi-cooper/,licensed_social_worker,2026-07-16
meredith-price,Meredith Price,LPC - Licensed Professional Counselor,LPC - Licensed Professional Counselor,"Pregnancy, Prenatal, Postpartum|Depression|Anxiety|Body Image|Codependency|Coping Skills|Family Conflict|Grief|Infertility|Life Coaching|Life Transitions|Marital and Premarital|Men's Issues|Mood Disorders|Parenting|Peer Relationships|Relationship Issues|School Issues|Self Esteem|Self-Harming|Sex Therapy|Sleep or Insomnia|Stress|Suicidal Ideation|Women's Issues",https://peachtreepsychology.com/therapists/meredith-price/,licensed,2026-07-16
sarah-evers,Sarah Evers,"LPC, CRC, NCC","Licensed Professional Counselor, LPC, CRC, NCC, MS, MPH",Chronic Illness & Disability|Caregiver Stress|Medical Trauma & Health Anxiety|Developmental Wounds & Complex Trauma|Life Events & Transitions|Grief & Loss|Building Healthy Relationships|Motherhood|Reproductive Mental Health|Shame & Conditions of Worth,https://peachtreepsychology.com/therapists/sarah-evers/,licensed,2026-07-16
samantha-bryant,Samantha Bryant,"NCC, LPC",Licensed Professional Counselor,Anxiety|Women's Issues|Depression|ADHD|Behavioral Issues|Bisexual|Body Image|Career Counseling|Codependency|Coping Skills|Grief|Lesbian|LGBTQ+|Life Transitions|Marital and Premarital|Men's Issues|Mood Disorders|Peer Relationships|School Issues|Self Esteem|Self-Harming|Spirituality|Stress|Thinking Disorders|Transgender|Trauma and PTSD,https://peachtreepsychology.com/therapists/samantha-bryant/,licensed,2026-07-16
erin-benator,Erin Benator,,Clinical Mental Health Intern,ADHD|Autism|Self-esteem|Anxiety|Depression|Women's Issues|Life Transitions|Disordered Eating|Jewish Culture|Neurodivergent Teens and Adults|Neurodivergent,https://peachtreepsychology.com/therapists/erin-benator/,intern,2026-07-16
lynn-lane,Lynn Lane,"MDiv, LCSW","MDiv, LCSW",Anxiety|Depression|Family-Of-Origin Issues|Grief & Loss|Life Transitions|PTSD|Relationship Counseling|Substance Abuse & Chemical Dependency|Spiritual Issues|Trauma|Women's Issues,https://peachtreepsychology.com/therapists/lynn-lane/,licensed_social_worker,2026-07-16
lauren-sanders,Lauren Sanders,"NCC, LPC",Licensed Professional Counselor,"Anxiety|Obsessive-Compulsive (OCD)|Parenting|ADHD|Behavioral Issues|Body Dysmorphic Disorder|Cancer|Child|Chronic Illness|Coping Skills|Grief|Life Transitions|Pregnancy, Prenatal, Postpartum|Women's Issues",https://peachtreepsychology.com/therapists/lauren-sanders/,licensed,2026-07-16
susan-keenan,Susan L. Keenan,"LPC, NCC, CPCS - Director","LPC, NCC, CPCS - Director",Depression|Anxiety|Grief|ADHD|Trauma and PTSD|LGBTQ+|Adoption|Alcohol Use|Anger Management|Family Conflict|Parenting|Relationship Issues|Self Esteem|Spirituality|Women's Issues,https://peachtreepsychology.com/therapists/susan-keenan/,licensed_director,2026-07-16
amanda-gaines,Amanda Gaines,,Master Social Worker,Anxiety|Depression|ADHD|LGBTQIA+ Concerns|Grief & Loss|Life Transitions|Trauma & PTSD|Chronic Illness|Substance Use|Addictive Behaviors,https://peachtreepsychology.com/therapists/amanda-gaines/,master_social_worker,2026-07-16
