answer_title,answer_slug,answer_url,answer_id,proposed_clinician_id,proposed_clinician_name,clinician_credentials,clinician_professional_title,verified_specialties,matched_specialty,deeper_topic,deeper_topic_name,deeper_category,deeper_theme,exact_match_reason,assignment_score,confidence,confidence_threshold_margin,match_type,other_eligible_clinicians,why_selected_won,reviewer_share_before_pct,reviewer_share_after_pct,sample_inclusion_reasons,ymyl_flag,human_qa_decision,human_qa_replacement_clinician_id,human_qa_notes
Can AI Make Me Feel Emotionally Numb?,can-ai-make-me-feel-emotionally-numb,https://www.deeper.global/answers/can-ai-make-me-feel-emotionally-numb/,6a251591-4c65-4e7c-b142-fcca29d18353,alex-crenshaw-phd,Dr. Alex Crenshaw,PhD,"Licensed Psychologist, PhD",Adults|Couples|Anxiety|Trauma|PTSD|CBT|ACT|DBT|Adult ADHD Testing|Psychological Testing|Diagnostic Evaluation|OCD|Depression|Evidence-Based Psychotherapy,Depression,depression,Depression,Depression,anxiety-and-mood,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,100,high,20.00,exact_topic_plus_alias,kelsey-donahue(topic_volume:13)|susan-keenan(topic_volume:12)|michaela-hilburn(topic_volume:11)|laura-hilsen(topic_volume:10)|jackie-malone(topic_volume:10),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,4.40,every_clinician_lowest|top10_lowest|alias_match,no,approve,,
How Chronic Stress Can Wear Down Your Mental Health,can-chronic-stress-affect-my-mental-health,https://www.deeper.global/answers/can-chronic-stress-affect-my-mental-health/,a3625f49-195a-4cc5-9c4b-42e8c499d879,alex-crenshaw-phd,Dr. Alex Crenshaw,PhD,"Licensed Psychologist, PhD",Adults|Couples|Anxiety|Trauma|PTSD|CBT|ACT|DBT|Adult ADHD Testing|Psychological Testing|Diagnostic Evaluation|OCD|Depression|Evidence-Based Psychotherapy,Depression,anxiety-and-stress,Anxiety & Stress,Anxiety & Stress,anxiety-and-mood,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via OCD (w=0.9)|alt_topic:anxiety-and-stress via Depression (w=0.35)|preferred_specialty_keyword:Depression,100,high,20.00,exact_topic_plus_alias,meredith-price(topic_volume:20)|samantha-bryant(topic_volume:16)|amanda-gaines(topic_volume:14)|lynn-lane(topic_volume:13)|kelsey-donahue(topic_volume:12),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,4.40,alias_match|ymyl_chronic,yes,approve,,
Can You Change Your Attachment Style?,can-you-actually-change-your-attachment-style-or-a-186602-009,https://www.deeper.global/answers/can-you-actually-change-your-attachment-style-or-a-186602-009/,dd0d953b-f0a1-41bd-89be-a059e490d9fa,alex-crenshaw-phd,Dr. Alex Crenshaw,PhD,"Licensed Psychologist, PhD",Adults|Couples|Anxiety|Trauma|PTSD|CBT|ACT|DBT|Adult ADHD Testing|Psychological Testing|Diagnostic Evaluation|OCD|Depression|Evidence-Based Psychotherapy,Couples,relationships-and-communication,Relationships & Communication,Attachment Styles & Relationship Dynamics,relationships-and-connection,exact_topic:relationships-and-communication via Couples (w=1),100,high,20.00,exact_topic,samantha-bryant(topic_volume:25)|lexi-cooper(topic_volume:24)|lynn-lane(topic_volume:20)|laura-hilsen(topic_volume:19)|sarah-evers(topic_volume:17),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,4.40,top10_extra,no,approve,,
Signs Someone May Be Manipulating You,how-can-i-tell-if-someone-is-manipulating-me,https://www.deeper.global/answers/how-can-i-tell-if-someone-is-manipulating-me/,59a58c2a-2fda-40fc-a326-8909dacbb89c,alex-crenshaw-phd,Dr. Alex Crenshaw,PhD,"Licensed Psychologist, PhD",Adults|Couples|Anxiety|Trauma|PTSD|CBT|ACT|DBT|Adult ADHD Testing|Psychological Testing|Diagnostic Evaluation|OCD|Depression|Evidence-Based Psychotherapy,PTSD,trauma-and-safety,Trauma & Safety,Relationship Abuse,trauma-and-safety,exact_topic:trauma-and-safety via Trauma (w=1)|exact_topic:trauma-and-safety via PTSD (w=1),100,high,20.00,exact_topic,susan-keenan(topic_volume:5)|lynn-lane(topic_volume:5)|samantha-bryant(topic_volume:5)|lexi-cooper(topic_volume:4)|michaela-hilburn(topic_volume:4),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,4.40,ymyl_abuse,yes,approve,,
Coping With Depression When You Have a Chronic Illness,how-do-i-cope-with-depression-when-i-have-a-chronic-illness,https://www.deeper.global/answers/how-do-i-cope-with-depression-when-i-have-a-chronic-illness/,c7c9790d-dc28-4419-8b71-c1d9f592756f,alex-crenshaw-phd,Dr. Alex Crenshaw,PhD,"Licensed Psychologist, PhD",Adults|Couples|Anxiety|Trauma|PTSD|CBT|ACT|DBT|Adult ADHD Testing|Psychological Testing|Diagnostic Evaluation|OCD|Depression|Evidence-Based Psychotherapy,Depression,depression,Depression,Depression,anxiety-and-mood,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,100,high,20.00,exact_topic_plus_alias,kelsey-donahue(topic_volume:13)|susan-keenan(topic_volume:12)|michaela-hilburn(topic_volume:11)|laura-hilsen(topic_volume:10)|jackie-malone(topic_volume:10),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,4.40,alias_match|ymyl_chronic,yes,approve,,
Dealing With Intrusive Sexual Thoughts,how-do-i-deal-with-intrusive-sexual-thou-177940-031,https://www.deeper.global/answers/how-do-i-deal-with-intrusive-sexual-thou-177940-031/,774db48c-d30f-414f-a2c4-edafc24d898e,alex-crenshaw-phd,Dr. Alex Crenshaw,PhD,"Licensed Psychologist, PhD",Adults|Couples|Anxiety|Trauma|PTSD|CBT|ACT|DBT|Adult ADHD Testing|Psychological Testing|Diagnostic Evaluation|OCD|Depression|Evidence-Based Psychotherapy,Anxiety,anxiety-and-stress,Anxiety & Stress,Intrusive Thoughts,anxiety-and-mood,exact_topic:anxiety-and-stress via Anxiety (w=1)|alt_topic:anxiety-and-stress via OCD (w=0.9)|alt_topic:anxiety-and-stress via Depression (w=0.35),100,high,20.00,exact_topic,meredith-price(topic_volume:20)|samantha-bryant(topic_volume:16)|amanda-gaines(topic_volume:14)|lynn-lane(topic_volume:13)|kelsey-donahue(topic_volume:12),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,4.40,ymyl_ocd,no,approve,,
How to Tell If What You’re Feeling Might Be Depression,how-do-i-know-if-i-might-be-depressed,https://www.deeper.global/answers/how-do-i-know-if-i-might-be-depressed/,3e63f5c1-2dec-4f72-800a-a2c56abd7275,alex-crenshaw-phd,Dr. Alex Crenshaw,PhD,"Licensed Psychologist, PhD",Adults|Couples|Anxiety|Trauma|PTSD|CBT|ACT|DBT|Adult ADHD Testing|Psychological Testing|Diagnostic Evaluation|OCD|Depression|Evidence-Based Psychotherapy,Depression,depression,Depression,Depression,anxiety-and-mood,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,100,high,20.00,exact_topic_plus_alias,kelsey-donahue(topic_volume:13)|susan-keenan(topic_volume:12)|michaela-hilburn(topic_volume:11)|laura-hilsen(topic_volume:10)|jackie-malone(topic_volume:10),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,4.40,every_clinician_mid,no,approve,,
AI Easier Than Therapist,why-does-talking-to-ai-feel-easier-than-talking-to-189142-017,https://www.deeper.global/answers/why-does-talking-to-ai-feel-easier-than-talking-to-189142-017/,b9f4e3eb-5136-4862-ac0c-1a763e586820,alex-crenshaw-phd,Dr. Alex Crenshaw,PhD,"Licensed Psychologist, PhD",Adults|Couples|Anxiety|Trauma|PTSD|CBT|ACT|DBT|Adult ADHD Testing|Psychological Testing|Diagnostic Evaluation|OCD|Depression|Evidence-Based Psychotherapy,Depression,depression,Depression,Depression,anxiety-and-mood,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,100,high,20.00,exact_topic_plus_alias,kelsey-donahue(topic_volume:13)|susan-keenan(topic_volume:12)|michaela-hilburn(topic_volume:11)|laura-hilsen(topic_volume:10)|jackie-malone(topic_volume:10),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,4.40,every_clinician_highest,no,approve,,
Can AI Make Health Anxiety Worse?,can-ai-make-health-anxiety-worse,https://www.deeper.global/answers/can-ai-make-health-anxiety-worse/,5d8b2f8d-f3ca-40fa-af8c-0b18cb6f8218,amanda-gaines,Amanda Gaines,,Master Social Worker,Anxiety|Depression|ADHD|LGBTQIA+ Concerns|Grief & Loss|Life Transitions|Trauma & PTSD|Chronic Illness|Substance Use|Addictive Behaviors,Anxiety,anxiety-and-stress,Anxiety & Stress,Anxiety & Stress,anxiety-and-mood,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),100,high,20.00,exact_topic_plus_alias,meredith-price(topic_volume:20)|samantha-bryant(topic_volume:16)|lynn-lane(topic_volume:13)|kelsey-donahue(topic_volume:12)|liz-webb(topic_volume:12),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,4.78,every_clinician_lowest|top10_lowest|alias_match,no,approve,,
Can You Drink Alcohol While on Psychiatric Medication?,can-i-drink-alcohol-while-taking-psychia-181083-061,https://www.deeper.global/answers/can-i-drink-alcohol-while-taking-psychia-181083-061/,2a4e5d5d-3a21-4529-917a-bb4716cfb944,amanda-gaines,Amanda Gaines,,Master Social Worker,Anxiety|Depression|ADHD|LGBTQIA+ Concerns|Grief & Loss|Life Transitions|Trauma & PTSD|Chronic Illness|Substance Use|Addictive Behaviors,Addictive Behaviors,addiction-and-recovery,Addiction & Recovery,Addiction & Recovery,trauma-and-safety,parent_theme:trauma-and-safety via Trauma & PTSD|exact_topic:addiction-and-recovery via Substance Use (w=1)|exact_topic:addiction-and-recovery via Addictive Behaviors (w=1),100,high,20.00,exact_topic,lynn-lane(topic_volume:30)|susan-keenan(topic_volume:22)|liz-webb(topic_volume:20)|jackie-malone(topic_volume:14),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,4.78,top10_extra|ymyl_addiction|theme_trauma-and-safety,yes,approve,,
Postpartum Depression vs. Baby Blues,how-do-i-know-if-i-have-postpartum-depression-versus-baby-blues,https://www.deeper.global/answers/how-do-i-know-if-i-have-postpartum-depression-versus-baby-blues/,f2449ae9-2637-4f89-81cd-432a15596208,amanda-gaines,Amanda Gaines,,Master Social Worker,Anxiety|Depression|ADHD|LGBTQIA+ Concerns|Grief & Loss|Life Transitions|Trauma & PTSD|Chronic Illness|Substance Use|Addictive Behaviors,Depression,depression,Depression,Depression,anxiety-and-mood,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,100,high,20.00,exact_topic_plus_alias,alex-crenshaw-phd(topic_volume:18)|kelsey-donahue(topic_volume:13)|susan-keenan(topic_volume:12)|michaela-hilburn(topic_volume:11)|laura-hilsen(topic_volume:10),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,4.78,ymyl_postpartum,yes,approve,,
Overthinking Everything You Say and Do,how-do-i-stop-overthinking-everything-i-say-and-184730-036,https://www.deeper.global/answers/how-do-i-stop-overthinking-everything-i-say-and-184730-036/,a6eb9e75-05b4-40bd-b675-1436fde5d458,amanda-gaines,Amanda Gaines,,Master Social Worker,Anxiety|Depression|ADHD|LGBTQIA+ Concerns|Grief & Loss|Life Transitions|Trauma & PTSD|Chronic Illness|Substance Use|Addictive Behaviors,Anxiety,anxiety-and-stress,Anxiety & Stress,Anxiety & Stress,anxiety-and-mood,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),100,high,20.00,exact_topic_plus_alias,meredith-price(topic_volume:20)|samantha-bryant(topic_volume:16)|lynn-lane(topic_volume:13)|kelsey-donahue(topic_volume:12)|liz-webb(topic_volume:12),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,4.78,every_clinician_mid,no,approve,,
Exercise for Depression,what-role-does-exercise-play-in-treating-depression,https://www.deeper.global/answers/what-role-does-exercise-play-in-treating-depression/,01673722-dfb4-43b1-a346-1370fe0a90f7,amanda-gaines,Amanda Gaines,,Master Social Worker,Anxiety|Depression|ADHD|LGBTQIA+ Concerns|Grief & Loss|Life Transitions|Trauma & PTSD|Chronic Illness|Substance Use|Addictive Behaviors,Depression,depression,Depression,Depression,anxiety-and-mood,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,100,high,20.00,exact_topic_plus_alias,alex-crenshaw-phd(topic_volume:18)|kelsey-donahue(topic_volume:13)|susan-keenan(topic_volume:12)|michaela-hilburn(topic_volume:11)|laura-hilsen(topic_volume:10),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,4.78,ymyl_eating,yes,approve,,
Why Do I Keep Going Back to AI Even When It Makes Me Feel Worse?,why-keep-going-back-to-ai-even-when-it-feels-worse,https://www.deeper.global/answers/why-keep-going-back-to-ai-even-when-it-feels-worse/,ae120bcd-ca42-4e8e-b020-5fd3f0f76a75,amanda-gaines,Amanda Gaines,,Master Social Worker,Anxiety|Depression|ADHD|LGBTQIA+ Concerns|Grief & Loss|Life Transitions|Trauma & PTSD|Chronic Illness|Substance Use|Addictive Behaviors,Anxiety,anxiety-and-stress,Anxiety & Stress,Anxiety & Stress,anxiety-and-mood,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),100,high,20.00,exact_topic_plus_alias,meredith-price(topic_volume:20)|samantha-bryant(topic_volume:16)|lynn-lane(topic_volume:13)|kelsey-donahue(topic_volume:12)|liz-webb(topic_volume:12),score=100; confidence=high; match_type=exact_topic_plus_alias; deterministic_tie_break_among_equals,0.00,4.78,every_clinician_highest,no,approve,,
Can AI Companionship Replace Human Intimacy?,can-ai-companionship-replace-human-intimacy-189142-007,https://www.deeper.global/answers/can-ai-companionship-replace-human-intimacy-189142-007/,8eff8c5f-438a-4be4-a671-6855f1eb6fb0,jackie-malone,Jackie Malone,"LAPC, CRC",Certified Rehabilitation Counselor (CRC),Addiction|ADHD|Alcohol Use|Anxiety|Bisexual|Body Image|Codependency|Depression|Drug Abuse|Dual Diagnosis|Lesbian|LGBTQ+|Life Transitions|Relationship Issues|Self Esteem|Stress|Substance Use|Transgender|Women's Issues,Relationship Issues,relationships-and-communication,Relationships & Communication,Relationships & Divorce,relationships-and-connection,parent_theme:relationships-and-connection via Bisexual|exact_topic:relationships-and-communication via Codependency (w=1)|exact_topic:relationships-and-communication via Relationship Issues (w=1),100,high,20.00,exact_topic,samantha-bryant(topic_volume:25)|lexi-cooper(topic_volume:24)|lynn-lane(topic_volume:20)|laura-hilsen(topic_volume:19)|alex-crenshaw-phd(topic_volume:18),score=100; confidence=high; match_type=exact_topic; deterministic_tie_break_among_equals,0.00,7.30,theme_relationships-and-connection|broad_generalist_topic_cluster,no,approve,,
