processed_at,record_id,slug,status,error_message,model,input_tokens,output_tokens,duration_ms,primary_term,canonical_answer,lede,key_takeaways,what_you_might_be_experiencing,what_can_help,when_to_reach_out
2026-06-17T13:19:20.548Z,002f7b2a-ca39-4afe-98e2-d0a480103ea6,how-do-i-stop-feeling-like-i-need-to-earn-184730-095,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6TDGNRM8h4ZczSa8a""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:20.916Z,00509ab5-e831-43b6-8893-7f5baa8396f5,how-do-i-deal-with-feeling-like-i-dont-have-anyone-who-really-gets-me,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6UMj6rVMe2wtzcBiM""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:21.101Z,0093a9bc-a50e-4f33-9803-d86377c61721,what-is-gaslighting-and-how-do-i-recogni-186032-030,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6VBLFnon6eeu2TF45""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:21.317Z,00efe394-abac-431b-b6ef-e836230becfc,why-do-i-feel-more-anxious-after-using-social-f9g3h7,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6W5ev8VQyiQSkv8Me""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:21.481Z,010c3808-ea3c-4dfa-89c9-8d7cd35ae95a,why-do-i-feel-addicted-to-social-media-validation-v7w2x5,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6WrYB1n8s7jWHWzUf""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:21.670Z,01153ef1-afa5-49e7-81b8-c4627d831195,how-do-i-overcome-perfectionism-at-work-186032-040,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6XdRNvxnCAzFaADtC""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:22.095Z,01673722-dfb4-43b1-a346-1370fe0a90f7,what-role-does-exercise-play-in-treating-depression,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6ZUJXBzNUWyJQJC5R""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:22.288Z,0184ad3c-ce17-4af3-9af7-4fe7ab6082cf,what-if-im-struggling-with-both-addiction-and-mental-health-issues,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6aEwWs2WCLzy5gGdJ""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:22.462Z,01df0c80-db12-483d-807d-88b73931594f,what-should-i-know-about-depression-and-pregnancy-planning,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6az5jHvGzHiUWeusT""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:22.627Z,01fce86a-8951-407a-9de3-fa8a7712d41e,why-do-i-feel-like-im-always-apologizing-for-who-184730-094,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6bgFzLBpA7jHvrkM4""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:23.824Z,020e8d3f-241a-4979-99cf-af87657359fe,why-do-i-feel-guilty-about-taking-psychi-181083-059,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6gyzmjyYCS7eCZnDv""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:24.035Z,022990eb-5526-4ac2-8183-739bcc74824e,how-can-i-protect-my-children-from-conflict-between-me-and-my-ex,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6hhQf6X6PY7tuW4i1""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:24.214Z,02cf3411-f1d7-425d-9d33-5a50faa8ed31,should-i-be-concerned-about-my-teenagers-relations-189142-019,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6iTnwCLnn1uciDyEY""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:24.371Z,02e25548-610a-4402-96e8-70797fb2fdf6,how-do-i-rebuild-intimacy-after-infidelity-or-betrayal,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6jAThXghGN7h1PGCN""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:24.565Z,038ce68c-ece7-496a-9ef4-eb7518fb9084,how-do-i-deal-with-feeling-like-im-always-the-184730-063,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6jyaPyWMkA95qAEbP""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:24.730Z,03a23fc1-8748-45bd-b72c-eae881d6569c,how-do-i-explain-my-spiritual-journey-to-181083-041,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6kgjnSBJAgMFzQ6id""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:24.918Z,03c852cc-7b70-4fd2-8bb9-df740820a4fa,how-do-i-know-if-therapy-is-working-186032-042,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6mU7yUAVnfytTHnJL""}",claude-sonnet-4-20250514,,,,,,,,,,
2026-06-17T13:19:25.077Z,03ebd011-4255-4b9c-852b-2cbc6df61053,whats-the-connection-between-depression-and-physical-health-problems,failure,"400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cc8u6n9JBzuhKKXo7rnb4""}",claude-sonnet-4-20250514,,,,,,,,,,
