slug,decision,clinician_id,previous_clinician_id,rule_key,match_reasons,notes,locked
can-ai-make-me-feel-emotionally-numb,approve,alex-crenshaw-phd,alex-crenshaw-phd,exact_topic:depression<<Depression,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,,true
can-chronic-stress-affect-my-mental-health,approve,alex-crenshaw-phd,alex-crenshaw-phd,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via OCD (w=0.9)|alt_topic:anxiety-and-stress via Depression (w=0.35)|preferred_specialty_keyword:Depression,,true
can-you-actually-change-your-attachment-style-or-a-186602-009,approve,alex-crenshaw-phd,alex-crenshaw-phd,exact_topic:relationships-and-communication<<Couples,exact_topic:relationships-and-communication via Couples (w=1),,true
how-can-i-tell-if-someone-is-manipulating-me,approve,alex-crenshaw-phd,alex-crenshaw-phd,exact_topic:trauma-and-safety<<Trauma,exact_topic:trauma-and-safety via Trauma (w=1)|exact_topic:trauma-and-safety via PTSD (w=1),,true
how-do-i-cope-with-depression-when-i-have-a-chronic-illness,approve,alex-crenshaw-phd,alex-crenshaw-phd,exact_topic:depression<<Depression,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,,true
how-do-i-deal-with-intrusive-sexual-thou-177940-031,approve,alex-crenshaw-phd,alex-crenshaw-phd,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|alt_topic:anxiety-and-stress via OCD (w=0.9)|alt_topic:anxiety-and-stress via Depression (w=0.35),,true
how-do-i-know-if-i-might-be-depressed,approve,alex-crenshaw-phd,alex-crenshaw-phd,exact_topic:depression<<Depression,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,,true
why-does-talking-to-ai-feel-easier-than-talking-to-189142-017,approve,alex-crenshaw-phd,alex-crenshaw-phd,exact_topic:depression<<Depression,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,,true
can-ai-make-health-anxiety-worse,approve,amanda-gaines,amanda-gaines,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),,true
can-i-drink-alcohol-while-taking-psychia-181083-061,approve,amanda-gaines,amanda-gaines,exact_topic:addiction-and-recovery<<Substance Use,parent_theme:trauma-and-safety via Trauma & PTSD|exact_topic:addiction-and-recovery via Substance Use (w=1)|exact_topic:addiction-and-recovery via Addictive Behaviors (w=1),,true
how-do-i-know-if-i-have-postpartum-depression-versus-baby-blues,approve,amanda-gaines,amanda-gaines,exact_topic:depression<<Depression,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,,true
how-do-i-stop-overthinking-everything-i-say-and-184730-036,approve,amanda-gaines,amanda-gaines,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),,true
what-role-does-exercise-play-in-treating-depression,approve,amanda-gaines,amanda-gaines,exact_topic:depression<<Depression,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,,true
why-keep-going-back-to-ai-even-when-it-feels-worse,approve,amanda-gaines,amanda-gaines,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35),,true
can-ai-companionship-replace-human-intimacy-189142-007,approve,jackie-malone,jackie-malone,exact_topic:relationships-and-communication<<Codependency,parent_theme:relationships-and-connection via Bisexual|exact_topic:relationships-and-communication via Codependency (w=1)|exact_topic:relationships-and-communication via Relationship Issues (w=1),,true
can-ai-make-intrusive-thoughts-worse,approve,jackie-malone,jackie-malone,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35)|exact_topic:anxiety-and-stress via Stress (w=1),,true
can-ai-make-me-feel-like-my-creativity-does-not-matter,approve,jackie-malone,jackie-malone,exact_topic:identity-and-self-worth<<Self Esteem,alias_keyword:stress|alt_topic:identity-and-self-worth via Body Image (w=0.4)|alt_topic:identity-and-self-worth via Life Transitions (w=0.4)|exact_topic:identity-and-self-worth via Self Esteem (w=1)|preferred_specialty_keyword:stress,,true
can-using-ai-for-emotional-support-become-addictive,approve,jackie-malone,jackie-malone,exact_topic:addiction-and-recovery<<Addiction,exact_topic:addiction-and-recovery via Addiction (w=1)|preferred_specialty_keyword:Addiction|exact_topic:addiction-and-recovery via Alcohol Use (w=1)|exact_topic:addiction-and-recovery via Drug Abuse (w=1)|exact_topic:addiction-and-recovery via Substance Use (w=1),,true
how-can-i-create-a-calming-environment-at-home,approve,jackie-malone,jackie-malone,exact_topic:general-mental-health<<Anxiety,exact_topic:general-mental-health via Anxiety (w=0.45)|alias_keyword:stress|exact_topic:general-mental-health via Body Image (w=0.55)|demoted_missing_keyword_support|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:adjustment|alt_topic:general-mental-health via Stress (w=0.45)|alias_keyword:stress,,true
how-do-i-cope-with-feeling-lost-and-uncertain-duri-187459-019,approve,jackie-malone,jackie-malone,exact_topic:general-mental-health<<Anxiety,exact_topic:general-mental-health via Anxiety (w=0.45)|alias_keyword:stress|exact_topic:general-mental-health via Body Image (w=0.55)|demoted_missing_keyword_support|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:Life Transitions|alt_topic:general-mental-health via Stress (w=0.45)|alias_keyword:stress,,true
how-do-i-deal-with-people-who-dont-understand-or-s-187459-023,approve,jackie-malone,jackie-malone,exact_topic:general-mental-health<<Anxiety,exact_topic:general-mental-health via Anxiety (w=0.45)|alias_keyword:Anxiety|exact_topic:general-mental-health via Body Image (w=0.55)|demoted_missing_keyword_support|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:Life Transitions|alt_topic:general-mental-health via Stress (w=0.45)|alias_keyword:Anxiety,,true
is-it-pathetic-to-eat-dinner-alone-every-181083-072,approve,jackie-malone,jackie-malone,exact_topic:identity-and-self-worth<<Body Image,exact_topic:identity-and-self-worth via Body Image (w=0.4)|demoted_missing_keyword_support|exact_topic:identity-and-self-worth via Life Transitions (w=0.4)|exact_topic:identity-and-self-worth via Self Esteem (w=1),,true
why-does-my-throat-feel-tight-when-im-st-181083-008,approve,jackie-malone,jackie-malone,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35)|exact_topic:anxiety-and-stress via Stress (w=1),,true
help-someone-believes-ai-is-sending-secret-messages,approve,jeannine-jannot,jeannine-jannot,exact_topic:family-and-parenting<<Parenting,exact_topic:family-and-parenting via Parenting (w=1)|preferred_specialty_keyword:Parenting|exact_topic:family-and-parenting via Child (w=1),,true
how-can-i-help-my-child-adjust-to-our-divorce,approve,jeannine-jannot,jeannine-jannot,exact_topic:family-and-parenting<<Parenting,exact_topic:family-and-parenting via Parenting (w=1)|preferred_specialty_keyword:Parenting|exact_topic:family-and-parenting via Child (w=1),,true
how-do-i-deal-with-academic-pressure-and-184729-009,approve,jeannine-jannot,jeannine-jannot,exact_topic:teens-and-identity<<School Issues,exact_topic:teens-and-identity via School Issues (w=0.45)|exact_topic:teens-and-identity via Parenting (w=0.7)|alias_keyword:panic|alt_topic:teens-and-identity via Child (w=0.7)|alt_topic:teens-and-identity via Education and Learning Disabilities (w=0.45)|alt_topic:teens-and-identity via Executive Functioning (w=0.45)|alt_topic:teens-and-identity via Productivity Coaching (w=0.45)|alias_keyword:panic,,true
how-do-i-deal-with-toxic-family-members-177941-009,approve,jeannine-jannot,jeannine-jannot,exact_topic:family-and-parenting<<Parenting,exact_topic:family-and-parenting via Parenting (w=1)|exact_topic:family-and-parenting via Child (w=1),,true
what-should-i-do-if-my-ex-spouse-isnt-paying-child-support,approve,jeannine-jannot,jeannine-jannot,exact_topic:family-and-parenting<<Parenting,exact_topic:family-and-parenting via Parenting (w=1)|preferred_specialty_keyword:Parenting|exact_topic:family-and-parenting via Child (w=1),,true
can-ai-make-avoidance-easier-when-anxious,approve,kelsey-donahue,kelsey-donahue,exact_topic:anxiety-and-stress<<Anxiety,exact_topic:anxiety-and-stress via Anxiety (w=1)|preferred_specialty_keyword:Anxiety|alt_topic:anxiety-and-stress via Depression (w=0.35)|exact_topic:anxiety-and-stress via Stress (w=1),,true
how-can-parents-support-a-child-who-worries-a-lot,approve,kelsey-donahue,kelsey-donahue,exact_topic:family-and-parenting<<Child,alias_keyword:Anxiety|exact_topic:family-and-parenting via Child (w=1)|exact_topic:family-and-parenting via Family Conflict (w=1)|exact_topic:family-and-parenting via Parenting (w=1)|preferred_specialty_keyword:Parenting,,true
how-long-do-i-have-to-take-psychiatric-m-181083-057,approve,kelsey-donahue,kelsey-donahue,exact_topic:depression<<Depression,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,,true
what-do-i-do-if-i-think-my-child-is-questioning-th-187459-002,approve,kelsey-donahue,kelsey-donahue,exact_topic:teens-and-identity<<Child,exact_topic:teens-and-identity via Child (w=0.7)|alias_keyword:child|alt_topic:teens-and-identity via Family Conflict (w=0.7)|alias_keyword:child|alt_topic:teens-and-identity via Parenting (w=0.7)|alias_keyword:child|alt_topic:teens-and-identity via School Issues (w=0.45),,true
why-does-depression-come-back-after-feeling-better,approve,kelsey-donahue,kelsey-donahue,exact_topic:depression<<Depression,parent_theme:anxiety-and-mood via Anxiety|alias_keyword:panic|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression,,true
am-i-becoming-too-dependent-on-ai-to-make-decision-189142-016,approve,laura-hilsen,laura-hilsen,exact_topic:work-and-burnout<<Life Transitions,exact_topic:work-and-burnout via Life Transitions (w=0.45)|exact_topic:work-and-burnout via Work/Life Balance (w=1),,true
can-ai-make-burnout-worse,approve,laura-hilsen,laura-hilsen,exact_topic:work-and-burnout<<Life Transitions,exact_topic:work-and-burnout via Life Transitions (w=0.45)|exact_topic:work-and-burnout via Work/Life Balance (w=1),,true
can-ai-workplace-monitoring-affect-mental-health,approve,laura-hilsen,laura-hilsen,exact_topic:work-and-burnout<<Work/Life Balance,alias_keyword:stress|alt_topic:work-and-burnout via Life Transitions (w=0.45)|exact_topic:work-and-burnout via Work/Life Balance (w=1),,true
can-deepfakes-cause-trauma-or-anxiety,approve,laura-hilsen,laura-hilsen,exact_topic:trauma-and-safety<<PTSD,alias_keyword:Anxiety|exact_topic:trauma-and-safety via PTSD (w=1)|exact_topic:trauma-and-safety via Trauma (w=1)|preferred_specialty_keyword:Trauma,,true
figure-out-who-i-am-outside-other-peoples-expectations,approve,laura-hilsen,laura-hilsen,exact_topic:identity-and-self-worth<<Life Transitions,exact_topic:identity-and-self-worth via Life Transitions (w=0.4)|exact_topic:identity-and-self-worth via Self-Compassion (w=1)|exact_topic:identity-and-self-worth via Self-Esteem (w=1),,true
how-do-i-ask-for-a-mental-health-day-wit-185759-041,approve,laura-hilsen,laura-hilsen,exact_topic:work-and-burnout<<Work/Life Balance,alias_keyword:stress|alt_topic:work-and-burnout via Life Transitions (w=0.45)|exact_topic:work-and-burnout via Work/Life Balance (w=1),,true
how-do-i-cope-with-losing-someone-to-suicide,approve,laura-hilsen,laura-hilsen,exact_topic:general-mental-health<<Anxiety,exact_topic:general-mental-health via Anxiety (w=0.45)|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:Grief|alias_keyword:shame|alias_keyword:shame,,true
how-do-i-cope-with-the-emotional-pain-of-divorce,approve,laura-hilsen,laura-hilsen,exact_topic:work-and-burnout<<Life Transitions,exact_topic:work-and-burnout via Life Transitions (w=0.45)|alias_keyword:Grief|exact_topic:work-and-burnout via Work/Life Balance (w=1)|preferred_specialty_keyword:divorce,,true
how-do-i-deal-with-depression-during-pregnancy,approve,laura-hilsen,laura-hilsen,exact_topic:depression<<Depression,parent_theme:anxiety-and-mood via Anxiety|exact_topic:depression via Depression (w=1)|preferred_specialty_keyword:Depression|alt_topic:depression via Mood Disorders (w=0.85),,true
how-do-i-handle-criticism-without-taking-177940-011,approve,laura-hilsen,laura-hilsen,exact_topic:general-mental-health<<Anxiety,exact_topic:general-mental-health via Anxiety (w=0.45)|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:shame|alias_keyword:shame,,true
how-do-i-maintain-my-sense-of-identity-during-reti-187459-024,approve,laura-hilsen,laura-hilsen,exact_topic:general-mental-health<<Anxiety,exact_topic:general-mental-health via Anxiety (w=0.45)|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:Life Transitions|alias_keyword:loss,,true
how-do-i-set-boundaries-with-my-own-family-about-my-relationship,approve,laura-hilsen,laura-hilsen,exact_topic:relationships-and-communication<<Relationship Issues,exact_topic:relationships-and-communication via Relationship Issues (w=1)|exact_topic:relationships-and-communication via Divorce (w=1)|exact_topic:relationships-and-communication via Infidelity (w=1),,true
why-do-i-feel-guilty-for-being-excited-about-chang-187459-021,approve,laura-hilsen,laura-hilsen,exact_topic:general-mental-health<<Anxiety,exact_topic:general-mental-health via Anxiety (w=0.45)|exact_topic:general-mental-health via Life Transitions (w=0.7)|alias_keyword:Life Transitions|alias_keyword:loss,,true
