answer_id,answer_slug,reviewed_by,topic,reviewed_at,accurate_public_label,notes
6f6f56ce-ea45-4e70-9e03-3c712030c1d2,can-adhd-cause-anxiety-and-depression,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
8cc8d0f3-c92e-4da4-ad7e-66bfdcb8c1f7,can-ai-make-religious-or-spiritual-confusion-worse,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
189b965e-1507-46dd-ad18-24bc5d4a37d7,can-depression-make-basic-tasks-hard,alex-crenshaw-phd,Depression,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
ed088597-01cf-42c1-bbdb-5a73eb09a9c0,can-i-still-be-spiritual-without-being-r-181083-037,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
9ae420b9-d9e4-4767-8cfd-40036b393435,can-life-be-meaningful-without-believing-in-god,rick-julian,Spiritual Doubt,2026-06-27,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
744d9c6c-e500-4321-84b4-c9670da8be7d,can-trauma-look-like-adhd,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
759cf4ad-8e40-4d1e-bf82-0fe059bf2bcd,how-do-adhd-medications-work,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
b10c777f-2cea-45af-b554-44c1bd3d0e2d,how-does-my-nervous-system-hijack-conversations-with-my-partner,michelle-morris-lpc,Relationships & Communication,2026-06-25,Clinical reviewer,Not Peachtree; preserve Imago assignments
1b48106d-ca13-41c7-bf62-4ad7ca718ca9,how-do-i-build-a-personal-spiritual-practice-outside-organized-religion,rick-julian,Spiritual Doubt,2026-06-27,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
61c4b80d-440e-4f98-8cd9-f6dd102e9a04,how-do-i-build-routines-with-adhd,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
fa6adc93-c81d-4db0-9268-1dd9fa3ef0b4,how-do-i-cope-with-adhd-time-blindness,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
16c784c2-0c77-4835-979c-872b2372f06b,how-do-i-cope-with-losing-my-faith-181083-031,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
a03be7fe-a8f1-483a-8ff3-7f7e433b22fc,how-do-i-deal-with-feeling-overwhelmed-by-wo-177941-013,alex-crenshaw-phd,Current Events,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
aa8d51d6-f47f-41ab-8eb2-31649c32bf58,how-do-i-deal-with-feeling-spiritually-lost-after-l3m6n9,rick-julian,Spiritual Struggle / Existential Crisis,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
f366393b-9836-4647-a73a-6bea8ad198f6,how-do-i-explain-adhd-to-my-employer,alex-crenshaw-phd,Neurodivergence & Attention,2026-06-22,Clinical reviewer (existing page-level attribution retained),Link into Peachtree org graph; keep current assignments
03a23fc1-8748-45bd-b72c-eae881d6569c,how-do-i-explain-my-spiritual-journey-to-181083-041,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
c42669d0-8cdf-485f-ae1f-c082d8fb4092,how-do-i-find-meaning-after-leaving-organized-g5h8i3,rick-julian,Spiritual Doubt,2026-06-19,Editorial reviewer,"Rick is editorial/authorial, not a clinical reviewer"
