answer_id,answer_slug,current_reviewer_id,current_public_reviewer_name,proposed_contributor_id,proposed_contributor_name,best_contributor_id,best_contributor_name,matched_specialty,deeper_topic,deeper_topic_name,deeper_theme,deeper_category,score,confidence,match_reasons,exclusions_evaluated,soft_cap_impact,profile_completeness,profile_publishable,blocked_incomplete,proposed_public_label,assignment_method,approval_source_internal,misleading_review_date_today,reviewed_at_legacy,qa_override,qa_decision
9debf278-e4ba-4616-8dbf-988b81f6552c,can-ai-chatbots-make-delusional-thoughts-worse,david-k-gore-phd,"Kenneth W. Christian, PhD",,,jackie-malone,Jackie Malone,Life Transitions,general-mental-health,General Mental Health,life-transitions-and-change,General Mental Health,70,medium,exact_topic:general-mental-health via Anxiety (w=0.45)|exact_topic:general-mental-health via Body Image (w=0.55)|demoted_missing_keyword_support|exact_topic:general-mental-health via Life Transitions (w=0.7)|alt_topic:general-mental-health via Stress (w=0.45),,none,complete,true,false,,,,true,2026-06-19,,
586965a5-afa8-4f2f-9084-5e1ef40d6cfb,can-ai-companions-be-risky-for-lonely-teens,david-k-gore-phd,"Kenneth W. Christian, PhD",,,susan-keenan,Susan L. Keenan,Self Esteem,teens-and-identity,Teens & Identity,family-and-parenting,Teen-Specific Questions,78,medium,exact_topic:teens-and-identity via Family Conflict (w=0.7)|tied_topic:teens-and-identity via Parenting (w=0.7)|alias_keyword:shame,,none,complete,true,false,,,,true,2026-06-19,,
d71e60f0-ee8d-4f4c-a9da-d074fdc66430,can-ai-companions-reduce-loneliness-or-make-it-worse,david-k-gore-phd,"Kenneth W. Christian, PhD",,,sarah-evers,Sarah Evers,Building Healthy Relationships,loneliness-and-belonging,Loneliness & Belonging,relationships-and-connection,Loneliness & Isolation,56,medium,exact_topic:loneliness-and-belonging via Building Healthy Relationships (w=0.45)|parent_theme:relationships-and-connection via Building Healthy Relationships,requires_keyword_support:Chronic Illness & Disability|requires_keyword_support:Caregiver Stress|requires_keyword_support:Motherhood|requires_keyword_support:Reproductive Mental Health,none,complete,true,false,,,,true,2026-06-19,,
5b536e8b-8b7d-4125-98e6-cbc35886eba5,can-ai-give-bad-mental-health-advice,david-k-gore-phd,"Kenneth W. Christian, PhD",,,alex-crenshaw-phd,Dr. Alex Crenshaw,Psychological Testing,therapy-and-care-navigation,Therapy & Care Navigation,care-and-therapy,Therapy & Mental Health,65,medium,parent_theme:care-and-therapy via Adult ADHD Testing|exact_topic:therapy-and-care-navigation via Psychological Testing (w=0.65)|tied_topic:therapy-and-care-navigation via Diagnostic Evaluation (w=0.65),,none,complete,true,false,,,,true,2026-06-19,,
3c079123-82a7-446a-8180-80f01f822411,can-ai-make-isolation-feel-normal,david-k-gore-phd,"Kenneth W. Christian, PhD",,,susan-keenan,Susan L. Keenan,Relationship Issues,loneliness-and-belonging,Loneliness & Belonging,relationships-and-connection,Loneliness & Isolation,56,medium,parent_theme:relationships-and-connection via LGBTQ+|exact_topic:loneliness-and-belonging via Relationship Issues (w=0.45)|parent_theme:relationships-and-connection via Relationship Issues,,none,complete,true,false,,,,true,2026-06-19,,
6134da23-54c3-4cf9-a909-f719581d1e41,can-ai-reinforce-mania-or-grandiose-thinking,david-k-gore-phd,"Kenneth W. Christian, PhD",,,jackie-malone,Jackie Malone,Life Transitions,general-mental-health,General Mental Health,life-transitions-and-change,General Mental Health,70,medium,exact_topic:general-mental-health via Anxiety (w=0.45)|exact_topic:general-mental-health via Body Image (w=0.55)|demoted_missing_keyword_support|exact_topic:general-mental-health via Life Transitions (w=0.7)|alt_topic:general-mental-health via Stress (w=0.45),,none,complete,true,false,,,,true,2026-06-19,,
d7d2cd1f-00d8-4c37-83ea-9673b3d79c82,can-ai-therapy-apps-replace-a-licensed-therapist,david-k-gore-phd,"Kenneth W. Christian, PhD",,,alex-crenshaw-phd,Dr. Alex Crenshaw,Psychological Testing,therapy-and-care-navigation,Therapy & Care Navigation,care-and-therapy,Therapy Navigation,65,medium,parent_theme:care-and-therapy via Adult ADHD Testing|exact_topic:therapy-and-care-navigation via Psychological Testing (w=0.65)|tied_topic:therapy-and-care-navigation via Diagnostic Evaluation (w=0.65),,none,complete,true,false,,,,true,2026-06-19,,
6b850fb6-f074-4bb1-937a-93ba2be70a0d,can-an-ai-chatbot-make-suicidal-thoughts-worse,david-k-gore-phd,"Kenneth W. Christian, PhD",,,lexi-cooper,Lexi Cooper,Life Transitions,general-mental-health,General Mental Health,life-transitions-and-change,General Mental Health,70,medium,exact_topic:general-mental-health via Anxiety (w=0.45)|alias_keyword:hopeless|exact_topic:general-mental-health via Life Transitions (w=0.7),,none,complete,true,false,,,,true,2026-06-19,,
ead2df35-3972-404b-bd29-485ceb8da0c3,can-loneliness-affect-my-mental-health,david-k-gore-phd,"Kenneth W. Christian, PhD",,,susan-keenan,Susan L. Keenan,Relationship Issues,loneliness-and-belonging,Loneliness & Belonging,relationships-and-connection,Loneliness & Isolation,56,medium,alias_keyword:Depression|alt_topic:loneliness-and-belonging via Relationship Issues (w=0.45)|parent_theme:relationships-and-connection via Relationship Issues,,none,complete,true,false,,,,true,2026-06-27,,
88542f02-b4b1-4ddb-b4d6-0ee73d09df3a,can-mental-health-symptoms-be-physical,david-k-gore-phd,"Kenneth W. Christian, PhD",,,jackie-malone,Jackie Malone,Stress,general-mental-health,General Mental Health,life-transitions-and-change,General Mental Health,78,medium,exact_topic:general-mental-health via Anxiety (w=0.45)|alias_keyword:Anxiety|exact_topic:general-mental-health via Body Image (w=0.55)|demoted_missing_keyword_support|alias_keyword:Depression|exact_topic:general-mental-health via Life Transitions (w=0.7)|alt_topic:general-mental-health via Stress (w=0.45)|alias_keyword:Anxiety,,none,complete,true,false,,,,true,2026-06-19,,
